"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2c_sens_init_fear"
"05/06/2026 16:06:33:539 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"102","300","0.4","0.55","0.5","0.3","0.2","0.05","300","49127","5987","43140","0.878132188002524","5987","4144","0.8085628197934097","0.5663477726551644"
"99","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50946","6644","44302","0.869587406273309","6644","4620","0.8026340719047603","0.6052658010990555"
"98","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50350","6563","43787","0.8696524329692155","6563","4631","0.8029070928441219","0.6005094206922776"
"97","300","0.4","0.5","0.5","0.3","0.2","0.05","300","51045","6661","44384","0.8695072974826134","6661","4632","0.7916762153840744","0.6118544768141635"
"103","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48604","5879","42725","0.8790428771294544","5879","4100","0.8184758883946468","0.5663539726500673"
"100","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50791","6698","44093","0.8681262428382981","6698","4700","0.8012671185334334","0.6144472954490791"
"101","300","0.4","0.55","0.5","0.3","0.2","0.05","300","47989","5765","42224","0.8798683031528058","5765","4142","0.8118491281074056","0.5653870635222599"
"104","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48710","5998","42712","0.8768630671320058","5998","4132","0.7968950495988631","0.5734194775703837"
"107","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48035","5866","42169","0.8778807119808473","5866","4153","0.8054200932901682","0.5650220278203393"
"112","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46921","5230","41691","0.8885360499563095","5230","3680","0.8379051972072425","0.5441595053297498"
"111","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46488","5210","41278","0.8879280674582688","5210","3637","0.8371920532895071","0.5417192409641435"
"115","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46381","5231","41150","0.8872167482374248","5231","3670","0.8362393833248147","0.5422257404982639"
"109","300","0.4","0.55","0.5","0.3","0.2","0.05","300","47862","5769","42093","0.879465964648364","5769","4143","0.8127275517560214","0.5595095406812955"
"106","300","0.4","0.55","0.5","0.3","0.2","0.05","300","49146","5976","43170","0.8784031253815163","5976","4137","0.8213478261224433","0.5730282798189218"
"105","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48394","5868","42526","0.8787452990040088","5868","4114","0.8097004920853724","0.5690110138214609"
"116","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46398","5197","41201","0.8879908616750722","5197","3692","0.8369991092449183","0.5388860866050105"
"108","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48018","5866","42152","0.8778374776125619","5866","4147","0.8279426430464422","0.5597000892846694"
"121","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45025","4584","40441","0.8981898945030539","4584","3241","0.8531473671293502","0.5185707898769617"
"120","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46174","5152","41022","0.8884220557023433","5152","3631","0.8249687618578933","0.5328733587585637"
"122","300","0.4","0.65","0.5","0.3","0.2","0.05","300","44846","4569","40277","0.8981180038353477","4569","3195","0.8532171801902123","0.5179947067067251"
"110","300","0.4","0.55","0.5","0.3","0.2","0.05","300","48293","5917","42376","0.8774770670697617","5917","4157","0.8087206057432251","0.5664343095330748"
"113","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46279","5249","41030","0.8865792259988332","5249","3633","0.826081255186881","0.5366343944803107"
"123","300","0.4","0.65","0.5","0.3","0.2","0.05","300","44663","4523","40140","0.8987304928016479","4523","3168","0.8413148383711005","0.5123538444658822"
"114","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46657","5261","41396","0.8872409284780419","5261","3637","0.8164125809523958","0.5333524921045225"
"119","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46674","5229","41445","0.8879676050906287","5229","3682","0.8288778735909564","0.5364202214346132"
"118","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46392","5183","41209","0.8882781514054148","5183","3677","0.8374232223527897","0.537446394761437"
"117","300","0.4","0.6","0.5","0.3","0.2","0.05","300","46440","5236","41204","0.8872523686477175","5236","3628","0.834242290285231","0.5421483361579225"
"124","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45050","4585","40465","0.8982241953385127","4585","3243","0.8496144809252232","0.5130642056223329"
"125","300","0.4","0.65","0.5","0.3","0.2","0.05","300","44838","4542","40296","0.8987019938445069","4542","3149","0.8274265633682675","0.5139003307923072"
"128","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45205","4567","40638","0.8989713527264683","4567","3177","0.8510183179455413","0.5185011315826732"
"129","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45258","4702","40556","0.8961067656546908","4702","3266","0.8480004004856875","0.5144108316935438"
"127","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45671","4707","40964","0.8969367870202097","4707","3231","0.8497224089361601","0.515827255515624"
"126","300","0.4","0.65","0.5","0.3","0.2","0.05","300","45296","4592","40704","0.8986223949134582","4592","3191","0.8481039782013248","0.5173626115635247"
"130","300","0.4","0.65","0.5","0.3","0.2","0.05","300","44675","4495","40180","0.8993844432008954","4495","3162","0.8424315449117188","0.5107328434897851"
