"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2e_sens_drift_speed"
"05/06/2026 16:08:01:909 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"101","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41078","18847","22231","0.5411899313501144","18847","13068","0.4150624024358249","0.459548110283993"
"100","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41221","18462","22759","0.552121491472793","18462","12802","0.41996851597720714","0.4614746391623235"
"103","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41170","18820","22350","0.542871022589264","18820","13119","0.41444149148063625","0.452923114378184"
"105","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41020","18770","22250","0.5424183325207216","18770","13181","0.41373646541867287","0.458482236026023"
"106","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41187","18798","22389","0.5435938524291646","18798","13202","0.41889584177507394","0.46183124066264347"
"102","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41033","18810","22223","0.5415884775668365","18810","13073","0.4113008193824248","0.45506291577028934"
"104","300","0.4","0.3","0.5","0.3","0.2","0.33","300","40864","18672","22192","0.5430696945967111","18672","13071","0.4119111691456025","0.4564893324522683"
"107","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41160","18796","22364","0.5433430515063168","18796","13140","0.41529028617933017","0.45539894087931326"
"108","300","0.4","0.3","0.5","0.3","0.2","0.33","300","40997","18845","22152","0.5403322194306901","18845","13187","0.41947128741639095","0.4563713559503279"
"109","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41050","18781","22269","0.5424847746650426","18781","13199","0.4109300682960766","0.45627794487591977"
"110","300","0.4","0.3","0.5","0.3","0.2","0.33","300","40781","18744","22037","0.54037419386479","18744","13168","0.40176879990787356","0.4553351510252689"
