"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2d_sens_response_strength"
"05/06/2026 16:07:01:745 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"53","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77580","8542","69038","0.8898943026553235","8542","6015","0.8526421498720167","1"
"49","300","0.4","0.3","0.5","0.3","0.25","0.05","300","75618","9449","66169","0.8750429791848502","9449","6581","0.8204709723834751","1"
"71","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81329","7732","73597","0.9049293609905446","7732","5421","0.880966949296513","1"
"48","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74080","9285","64795","0.8746625269978402","9285","6568","0.8209103065384026","0.9995058210645845"
"76","300","0.4","0.3","0.5","0.3","0.4","0.05","300","80883","7635","73248","0.9056043915285041","7635","5276","0.8672966255390467","1"
"79","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81413","7635","73778","0.906218908528122","7635","5364","0.8729925867400317","1"
"78","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81524","7749","73775","0.9049482361022521","7749","5371","0.868858180769511","1"
"77","300","0.4","0.3","0.5","0.3","0.4","0.05","300","80521","7573","72948","0.905950000620956","7573","5332","0.8611759067158316","1"
"80","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81125","7659","73466","0.9055901386748845","7659","5343","0.8681353761723976","1"
"82","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82249","7210","75039","0.9123393597490547","7210","5143","0.8736595348889055","1"
"81","300","0.4","0.3","0.5","0.3","0.45","0.05","300","81933","7351","74582","0.9102803510185151","7351","5197","0.8775234147899614","1"
"86","300","0.4","0.3","0.5","0.3","0.45","0.05","300","81966","7335","74631","0.9105116755727984","7335","5098","0.882726523447537","1"
"84","300","0.4","0.3","0.5","0.3","0.45","0.05","300","81838","7375","74463","0.9098829394657738","7375","5188","0.8737904379254083","1"
"83","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82327","7432","74895","0.9097258493568331","7432","5131","0.8879795529400076","1"
