"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"114","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3894","3643","251","0.06445814072932717","3643","942","0.3107840342292131","0.050533896521390884"
"113","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3935","3696","239","0.06073697585768742","3696","907","0.31021438938207085","0.05153100348576069"
"112","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3971","3704","267","0.06723747166960463","3704","930","0.3147700102483553","0.0431168060913661"
"118","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3911","3662","249","0.06366658143697264","3662","886","0.3129238592606383","0.04709478965784256"
"120","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3956","3714","242","0.06117290192113246","3714","900","0.310956844462599","0.03796137295514704"
"119","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3935","3695","240","0.060991105463786534","3695","931","0.31176534229067143","0.0390682280987467"
"117","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3980","3716","264","0.06633165829145729","3716","930","0.31176482356436364","0.037927228409475704"
"121","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3713","3518","195","0.05251817936978185","3518","721","0.3071975523997698","0.03380212081828351"
"122","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3682","3497","185","0.050244432373709944","3497","725","0.30660542274386654","0.03980481752636486"
"123","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3689","3494","195","0.0528598536188669","3494","727","0.30724776435485823","0.03130255000293313"
"124","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3696","3487","209","0.05654761904761905","3487","687","0.30721704514366416","0.029392626142422735"
"125","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3640","3443","197","0.05412087912087912","3443","717","0.3078998045377382","0.03866879672965372"
"126","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3655","3481","174","0.047606019151846785","3481","695","0.3066790828556437","0.037858318494700234"
"127","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3691","3481","210","0.056895150365754536","3481","682","0.30719721510812537","0.03425575941673076"
"128","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3707","3512","195","0.052603183166981385","3512","743","0.306475632618547","0.03575108736134375"
"129","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3680","3498","182","0.049456521739130434","3498","697","0.3068536094666869","0.04527113438060734"
"130","300","0.4","0.3","0.2","0.05","0.2","0.8","300","3630","3475","155","0.04269972451790634","3475","707","0.3077691832065003","0.034939948968841505"
"136","300","0.4","0.3","0.2","0.05","0.25","0.2","300","87822","10444","77378","0.8810776343057548","10444","8328","0.7030504273815469","1"
"138","300","0.4","0.3","0.2","0.05","0.25","0.2","300","87898","10411","77487","0.8815558943320667","10411","8342","0.7076348651183116","1"
"139","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88163","10411","77752","0.8819119131608498","10411","8334","0.6947831374304265","1"
"143","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86605","12162","74443","0.859569308931355","12162","9179","0.7330754238205754","1"
"135","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88044","10468","77576","0.8811049020944074","10468","8402","0.7233106274760308","1"
"137","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88091","10466","77625","0.8811910410825169","10466","8320","0.7068872567072286","1"
"140","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88107","10471","77636","0.8811558672977176","10471","8431","0.7129430196037868","1"
"141","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86691","12058","74633","0.8609082834434947","12058","9058","0.7210785643681713","1"
"131","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88192","10499","77693","0.8809529208998549","10499","8432","0.7139083173433644","1"
