"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2c_sens_init_fear"
"05/05/2026 00:26:43:436 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"116","300","0.4","0.6","0.5","0.3","0.2","0.05","300","49974","5420","44554","0.8915436026733902","5420","3744","0.8350294618427007","0.5972865905180188"
"113","300","0.4","0.6","0.5","0.3","0.2","0.05","300","50208","5371","44837","0.8930250159337157","5371","3741","0.8343179494494367","0.5949270346049861"
"118","300","0.4","0.6","0.5","0.3","0.2","0.05","300","51385","5590","45795","0.891213389121339","5590","3878","0.8393851119018606","0.61174020762831"
"112","300","0.4","0.6","0.5","0.3","0.2","0.05","300","50214","5395","44819","0.8925598438682439","5395","3760","0.8407590899979335","0.595516635250782"
"119","300","0.4","0.6","0.5","0.3","0.2","0.05","300","49385","5314","44071","0.8923964766629543","5314","3767","0.8306505655830017","0.5849825338350837"
"120","300","0.4","0.6","0.5","0.3","0.2","0.05","300","49952","5403","44549","0.8918361627162076","5403","3759","0.8445297826171544","0.5959002116036177"
"121","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47510","4784","42726","0.8993054093874974","4784","3346","0.8541776287753209","0.5569782676686703"
"122","300","0.4","0.65","0.5","0.3","0.2","0.05","300","46964","4662","42302","0.9007324759390172","4662","3229","0.8540952018803555","0.5492761740020249"
"123","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47613","4763","42850","0.8999642954655241","4763","3334","0.8629033002222516","0.559637701927679"
"124","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47651","4777","42874","0.8997502675704602","4777","3310","0.8623097866166144","0.5534467629171999"
"127","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47456","4685","42771","0.9012769723533378","4685","3294","0.8702772352570379","0.5617629147109569"
"125","300","0.4","0.65","0.5","0.3","0.2","0.05","300","48047","4719","43328","0.9017836701563053","4719","3338","0.858739012033926","0.5547315563909492"
"126","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47205","4650","42555","0.9014934858595488","4650","3301","0.8411563987324234","0.5413180499447666"
"128","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47144","4678","42466","0.900772102494485","4678","3296","0.8532599666490439","0.5536350293885121"
"129","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47381","4739","42642","0.8999810050442161","4739","3364","0.8603656099951671","0.5571040603035587"
"130","300","0.4","0.65","0.5","0.3","0.2","0.05","300","47024","4669","42355","0.9007102756039469","4669","3250","0.8553360436606283","0.5501288566090382"
